,target,TweetText
136677,0,I feel as though I'm letting down the feminist side by being so focused on ATP and not nearly as much on WTA. =/ Sorry. 
485605,0,im trying to keep awake!!!!!!!!!!!!!!! its painful 
305246,0,feeling ill ill ill.  goodnight.
586991,0,@cabel the best part about that is when you do use an IE8 useragent it says to disable compatibility mode in the hints 
491246,0,@EwitaK where is the love yall seeing movies without me 
215315,0,@nidialmann @2_Centz wish i was there 
1488792,4,watching tv. &quot;2 fast 2 furious&quot; dang I remember when I loved this damn movie 
781492,0,Doh! Planned to do some work in the cafe before a meeting. eduroam is not working. Spent the last ten minutes setting up roamnet. 
1569654,4,Hahaha blakk is reckkkin it. :p throwwwwwed. 
1166616,4,"Roaming the floor today  I will need some company on here, it's not busy!"
1462931,4,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! 
915849,4,Here  dude we got here n a table readyyy fo us 
1208244,4,@LittleFletcher Hi Carrie  How are you this morning? Xxx
1308728,4,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it "
606080,0,@OhSnapItsNicole why does it always rain when your not heree 
930710,4,HAHAHAHAHAHHAHAHA. I dont think we need to jump anyone. She's hot  #hewouldbeluckytobebuttercupdsboyfriend
139151,0,"@DracoRigel Good Morning to you. No sun here today I am afraid, its rainng  But got my coffee ;)"
964048,4,"@spiv1 no prob, anytime you need some drinking support/encouragement, I&quot;m here  It's my specialty "
617079,0,@crystalchappell ok I will go back to painting my house 
1367837,4,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day
1437368,4,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
97520,0,@mscrissy nope..I know 
1583514,4,@sephrenia1982 good work 
1072028,4,@madonnamike I thought you'd be pissed at me because you love CL. I totally respect her and that's why I made the reference 
771500,0,OKLAHOMA!!! for a couple hours. i'm seriously missing civilization 
1066232,4,@marioSOTM I ended up helping out Radio 1 newsbeat out there. It was a massively fun evening I spent with them. Champions of England! 
987237,4,@pmdhazy While your at it can you make me a thingamy? Looks a bit like |___/\ but bigger and it offer a hole in it  #engineeringdrawing
248768,0,FINALLY IM BACKKKKKKK!!!!!!!!!!! =D and with bad news  R.I.P. Don To~o...
922422,4,Happy Mother's Day to the wondeful Mum's in America  God Bless You All.
558279,0,says i so miss justice  Broom box kada. 
1479297,4,@Primevalfans aw cool  and the woman who plays Morgana in Merlin is in it too
1574259,4,@TheUncoolest 
1442048,4,Night in with the rock star...  
1106326,4,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 
910631,4,ugh i wish this school year would go faster so i can move on in life 
763430,0,@IrieDiva can only make what the company has available 
231477,0,"@rhysatwork @dsko @beet09 @ausi1 Hope you guys are all going well with your #NET12 assignments...I'm trying to cut 34,354 down to 3,435 "
1389874,4,Off to Whipsnade  Hope it's dry
548567,0,i was at the park today and i was racing my cousins and i slipped and cut my arm 
453684,0,Keen for hey monday to make a mess in new zealand.. if only!  i &lt;3 jesus. Straight up christian
336219,0,"@therainbowgirl Ah, poor you  I hate when that happens!"
1328829,4,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing "
968502,4,@openak it's just you and me bro 
926384,4,Setting up the wireless access layer of my network today. Mesh lab coming online.  can't wait to run loads through it and gather data.
369502,0,Its official my boss and savior is leaving arco arena for future endevors.  This really sucks 
1501550,4,"@mithss mourniiiiiiing eh, morniiing!!! "
855502,4,in business lesson ...listen 2 music 
950195,4,Enjoying the last rays of the weekend sun 
419271,0,@_KrishaMarie they have a TapEx on campus.  Safe to say they make lots of money.
1046799,4,"ok ok .. i'm completely stuffed  full of AVOCADO   i thnk if i was on Survivor, i'd be fine if there was just one avo tree "
222,0,@imaginarypeach now your leaving me  .... -gets sad-
1599782,4,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! 
1067105,4,"@tamiami1976 Don't ask me, I still have no idea how to work twitter. "
463022,0,@BaileyyScott I miss you fool 
135376,0,Really craving some chocolate ....i think i should continue my diet 
589976,0,OMG. I have a pimple coming in on my forehead. I guess its true...no body's perfect 
1187198,4,luvly day in the sunshine  onli 4 days now :0 OASIS
201030,0,"last day at the sioux falls salon, i will miss my younkers family..  #fb"
1076822,4,@ItsNeet 100%.. its like getting an A for all your classes.. 
996966,4,"@alinemcintyre You should work on the next cruise, amiga! "
1420567,4,@4prina can u check mine out and tell me wat u think  www.myspace.com/trabeezy
1223530,4,i have find my someone 
1488647,4,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us 
1278592,4,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt
1498600,4,I'm obsessed with twitting  haha
904643,4,is on the phone 
630570,0,@SoulAdored65  so horrible.... the poor mom...
447872,0,@malcolmbastien I do... But then what after that? A desolate wasteland of nothing! I'll be like Mel when he was left naked in the desert 
374134,0,The garden looks beautiful! Too bad you can't see it!  
1274614,4,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. "
162781,0,"My smartcard fell out of its holder when I was going home today. If anyone finds it, please tell me "
1280637,4,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs"
1471970,4,Starbucks! The best way to start the morning 
991432,4,"How I Met Your Mother - The Leap, Tomorrow 2.am. "
24116,0,is already up and tired 
624090,0,@charlottespeech I never got a bell 
178269,0,@robo__rob IKR. but i hate the lack of troyella  ggmow always makes me so sad 
403685,0,Josh just owned me and justin in skate. Time to study 
418200,0,@TamboManJoe do you know how important is for me what you said? you make me cry  hahah
888380,4,@vanitaapplebum I am so tired of dreaming I am ready to see some reality..  
368959,0,Looks like I might be staying in tonight 
120956,0,"@jbfan10101 I know, right!? I wanted to have an account there so I could get that song, but mom wouldn't let me.. It sucks "
25844,0,homework all day  ugh
581170,0,Doh! My dad jumped into the ocean with his camera in his pocket! 
495202,0,so so so so BORED! 
1480555,4,"@aBetterPlace DUDE!  I got to meet you! Future East Coast meetup, you are hysterical!"
460445,0,@singlegirlie I feel your pain. Disneyland today on 3hrs of sleep 
721716,0,@FromFL Fine food &amp; friends this evening huh? @BlueCrewDNeLLy will be missed! 
412798,0,Damn......its raining 
1055878,4,i have a bb pearl here. the keyboard wont let me type a phone number. what should i do? im a SE boy 
615917,0,@kiwinerd Ugh! So sorry. 
1101978,4,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net "
1498280,4,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow 
489837,0,Why couldn't it have been Rodrigo  #BB10
492946,0,@JaneHungOz Hey there!  You are here for the fun... until Twitter goes down for maint 
1310602,4,Has just joined Twitter.. It better be good! 
439037,0,too much music and nothing to put it on 
531770,0,@singlegirlie I'm not sure if Mr Saturday is playing games or not. He had to back out of our dates this week because he's sick 
506772,0,@ItsJustMe_ He never mentioned amaeballs!  The moment has passed. Sad.
1475811,4,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making "
939264,4,@nsarryeh your rockinggg twitter..im sooo proud of u 
121061,0,Feel bad for my woman. 
1148329,4,@mattchew03 LOL yes but Lerff facts predate that!! 
1329242,4,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late
739705,0,"Happy Summer Solstice- in the Northern Hemisphere summers solstice began on June 21, 2009 at 1:45 A.M. EDT  Now the days get shorter "
348756,0,@TheRealLFO july 10th!!  i bet i have 2 work! come 2 charlotte! i'm sure my manager wouldn't mind if U sang to me in the fittingroom LOL!
307805,0,idk how to help anymore. maybe youll just have to learn the hard way?... whatever im going 2 bed. drivers ed is gonna be hell tomorrow 
1157359,4,"No your today though, so thegirls are free to relaxin the scottish sun "
347212,0,"At work, drinking coffee, kinda listening to local news...hungry as usual "
841571,4,@minxdeluxe thanks! let us know if you need any info from us 
76213,0,thinking there are some changes i should make to my papers... but i've already printed them 
310711,0,On my way to university again. Miss my learning group this morning. 
543696,0,@254mochacharlie losing 10 lbs by 7/15 will be easy? Tell me ur secret!! I've been trying for 5 lbs for months but not getting anywhere. 
1155015,4,"is new to twitter. offerings of HELP, are warmly welcomed  hahaha."
436390,0,at church...not feeling very well at all 
353525,0,No props for the Wine Merch?  
716707,0,Heidi has officially destroyed my frogbur  Hopefully I can fix it!
878541,4,im still eating some chocolate from easter  homework/studying for half yearlys is waaay too boring. i prefer the interent xD
1552018,4,@sbhoools Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
883612,4,@The_OC I was looking for your Breakfast Show page and failed miserably! Where is it?! 
1255842,4,"@davidwalters Shwmae David, @Banksyart is now at @Banksyart2 - has been posting there since having probs with his @Banksyart account. "
400301,0,I can't play voleyball today!!  I have to go to the doctor
1013452,4,@No1Carrington the same reason why i always look forward to reading your editorial in the www.fandwb.com  Love from everyone @trrs
1063686,4,Leaving Florida. So excited 
1340504,4,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today 
667046,0,It seems a new FriendFeed User Interface (UI) is coming soon. The current one was too young.  #friendfeed
15103,0,Driving my niece back to Boston on Easter Sunday: Priceless. Blowing through the FastLane without a pass: $50 
420348,0,I hate the rainnnn...it makes my allergy three times worse! 
212878,0,@laubow_ to be fair I think part of her is happy she didnt win. She looked under so much pressure 
682327,0,"Hmm, my sons are on the couch playing NDS...for hours "
56297,0,is not looking forward to work or school 
1566589,4,@DENISE_RICHARDS love your hair  dont ever cut ur locks 
1239946,4,@atxbrowncoats Can't wait!!!  We're super excited. 
1234083,4,@Dee_Dee_3 high low 
1546693,4,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx"
143481,0,"morning world. I feel pretty good. I slept for 9 hours til 10:30pm, then another 5 or so til now. Boyf woke up with an upset tummy tho. "
167557,0,"David Mitchell's presenting 'Have I Got News For You' tonight &lt;3 I love him! I think he's ace &lt;3 On another note, damn this headache "
1498615,4,On schedule now to soft launch tomorrow evening - already have first customer - lost cat 
1289204,4,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; 
1470598,4,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old 
698689,0,"@DavidArchie aww, have fun! wish i could go "
1436309,4,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? 
693881,0,god me chest feels bad today feel like if a little elphant has sat on it can no breath prople 
605386,0,"Torn, I really want to get http://tinyurl.com/kmjg9k for Hazel, this is a great deal, but shipping costs just as much as the hat "
314842,0,@lovemetoyou Ouch   It will heal up OK - I did that a couple of months ago with my thumb. I know it hurts though 
206754,0,@kerenshandrow was listening to wake durring my surgery. the phone fell on the way to recovery lost my place when the  batery popped out 
938150,4,awh poor brent! for an old guy he was pretty cute 
1077245,4,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!
427476,0,@londonveggarden I wish I was living in your latitudes. My tomatoes are still inside  But radishes are doing well at the allotment
563819,0,@Harsayis I'm so jealous! i'd love some all you can eat chinese! 
751660,0,just got a call...my Prius is delayed another week or so.    EVERYONE wants the solar moon roof.  6 others waiting...it's MINE!!!
163200,0,The stars are out. Where were you when I needed you 
710617,0,"Man, it's a horrible day to be stuck inside working. The sun wants me to go outside. "
122358,0,I really have trouble writing stuff when there's no audience for it. I'm sure that says something. Something about me 
228435,0,@Boyislost They seem to be a few mins behind sometimes. Sorry.. I keep refreshing  Are you going to bed?
632586,0,"@techninjoe cause im a weakling..lol..for real tho im a preme..born 2 months early so i got like bad heart, bad sight, bad back, umm yea "
1256730,4,O how i love you sammoons  o how i do. 
362877,0,i miss mummy 
1413701,4,new phone  tattoo on monday! Woo.. just had tea. yummy.
451459,0,"@Keith_Smyth coffee n toast? say wt lol, gna miss stu  4 4 whole weeks xx"
317820,0,why can't i twitter on my phone?! *sulks* 
373647,0,@jafane5 @spahkleprincess i sadly was not there 
794572,0,My hands have lost half their movement! 
1566054,4,@RobbieTaylor I have no comment about who won the game until this replay is completed. 
822605,4,is in trevs room; about to do bon qui qui 
143042,0,"Just woke up, must have been asleep for 14 hours. CG-Podcast is on hiatus till im well. Im too weak and contagious "
1533628,4,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas 
1059695,4,"In Lucien's Library you'll find the complete story of http://ping.fm/iHeVU Someday,we'll finish this "
1548911,4,Downtown Disney 
67082,0,@Cubbydaniel pos aver ... I'm waithing for my sis to come back with my food if alex goes Ill go cause my bro took my car 
366218,0,why HER? whywhywhywhywhy. Yes I'm aware I'm just jealous but it still bothers me. ughhhh 
639017,0,locked out of friendfeed account... pw no longer works... verification email does not come for hours 
1107114,4,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. 
1357521,4,"And then Will Farrell ran out with a banjo. Yep, Land of the Lost was funny. "
1356761,4,@pawsitivlycorky Cute 
142718,0,i need a car holy crap 
919026,4,got one because of my babygirl 
1092655,4,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  "
1066678,4,@mileycyrus i meant to reply you but..i kinda replied your dad  oopsy..anyways how can i vote
1222536,4,Alright this is my debute twitt  yay lol
89307,0,@lrpw1302 Im covered in the bloody stuff. Cant use bathroom untils its dried. Children look on in amusement 
685510,0,I was sleepin like a baby then i woke up at 3 am 
1375326,4,@Alyssa_Milano do celebs get more characters than the rest of us? 
278847,0,all of my Horny Kitty's have left me 
1206204,4,Keyshia cole loves bebe too!!! 
645809,0,@renee_66 hey i tried to buy ss album but it didnt work  stupid computer is gay
824578,4,"@Kathleennyc aaaawww, it's always good to live a little. "
953270,4,just got home from a fun night out! the beach tomorrow morning 
26943,0,is ready for work to be over so she can crawl back in bed and maybe get a few hours sleep... 
174945,0,Rainy day in Philly  looks like it's gonna be a movie night.
1189979,4,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see 
671501,0,@coopermoto LONG time to ge on hold lol I was told 10 days + also had 2 have a credit check because I'm a new customer and trading &lt;1year 
977133,4,@skovi nice.  will let you about our next spiritualwarriors.com screening 
141903,0,I`m going to see my honey today.. ah - just see him on the weekends because hi`s at the army 
73715,0,english hmwk sucks  xx
1328071,4,He'd go anywhere with me 
1375201,4,@squirrelyTONKS Go for your life 
1357255,4,Just found out there will be a cmap rock 2. wow pretty happay 
402830,0,Recovering from a nyquil hangover. Blah 
569187,0,I might take a short little nap right now... Like half an hour... My head hurts from not sleeping... 
656796,0, still tired after nap
87381,0,"This was the house I grew up in: http://bit.ly/rXb1m It's abandoned, trashed, half burnt down and hobo-ridden. It's really sad. "
1115104,4,Finally done work YAY 
589445,0,@carlacharisse yeah.i love food.but you're so small carla.i'm flabby 
182695,0,Damn no Burning Bright 
1499997,4,@heycassadee Can I ask a question? 
119646,0,Ready to leave blackpool 
1418500,4,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven "
1286486,4,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! 
623557,0,"is unfortunally watching transformers 2 revenge of the fallen 2moz but i dnt wanna c it, it nt gt rob pattz in "
1266546,4,@Shadez mmm...i wouldn't mind li'l Katy's either.. 
1184777,4,"@Salteh Happy Birthday, mate! Have a good one! "
914019,4,"forgot my macbook's recharger, that means nothing but Pratchett for me today "
693382,0,@maldenic I get why you'd be asking about Batman... I'm not sure I want to know why you're assuming it involves penises as well 
21996,0,"Oh, Noooooo French Test!!! "
787200,0,ahh. bimbo..what the - is she trying to do 
1481101,4,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving "
1513801,4,i haven't laughed this hard in a while 
742303,0,Exam tomorrow 
564353,0,Grrr - just spend the last 15 minutes making french toast only to discover there is no tomato sauce 
396344,0,@p0pisdead thanks for the tips.  I'm definitly gonna invest in a steamer.  
868924,4,@whoisright We've had a lot of rain here lately. So I'm expecting a TON of May flowers. LOL Enjoy your day. 
1471099,4,"got dad's birthday present, good price    i hop he doesn't read this - dad if you do, don't look!   revising... http://tinyurl.com/mbz55v"
1137537,4,Sitting In North Carolina With Olivia 
1295360,4,@the_spinmd the guys behind the scenes have been working hard to please you (and the other millions of fans!) 
176637,0,@markhoppus Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA 
1138450,4,At red lobster with the rents 
222097,0,I feel so bad for my kitty  I just want him to feel better
1257793,4,my last nite in work for weeks.....ah im in such good humour 
751069,0,@Flyassmill I needed one after this I work 10 days in a row 
555180,0,@sevinnyne6126 That's Life 
399585,0,i'm sooo tired. been up since 9am and since then running errands and stuff. i wanted to go out tonight but i think i'll fall asleep soon. 
84198,0,"@ChubBBoy Oh, yowch! Poor car "
1561291,4,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite 
389778,0,i wanna talk with you right now 
158913,0,I miss Trevor more now that he's over seas. Tough being in love with an airman. 
1592854,4,@TheDailyBlonde sometimes 
1302892,4,Hey! How are you? I thought you'd like some Maestro Knows-Tour Edition  http://www.vimeo.com/4966590 Enjoy!
1015746,4,@ReginaPearl morning! And me &amp; you don't do anything but tweet! 
84660,0,@Trobo1 I wish I'd been at the game. 
628085,0,u shud watch it .... i almost cried  
1186582,4,@cali_g510 ok   I got you!
1500998,4,more storms! 
802516,4,@LFTA ...And Prince - Erotic City (Feat. Shelia E) 
966950,4,@HarlieRae welcs  and I'm happy you will have a new profile picture
87555,0,@shawnee_dj yeh  bad times 
1591914,4,"@RugbyDog Yes, I did get the reply. I didn't know there was one, either, but I thought I'd ask Give you something to do on the weekend. "
344539,0,@Kami88 yea man that's when Bad Boy actually had talented artists 
477091,0,at the airport. hungry. 
965665,4,@nicolex33 thanks my little sparrow 
834203,4,@roninotter Happy Birthday!  
1325045,4,making a pirates club 
129497,0,IT'S MY B'DAY 2DAY!!!!!!!!!!!!!!!!!!!! 26 YRS OLD 
1160606,4,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard 
1373908,4,@laurie_pringle I mention it in the blog post. It's in Vancouver. 
1379474,4,I am soooo happy!!! 
1363731,4,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  
183293,0,feeling like an old lady..suffering lower back pains uhggggg. i guess it's PJ'S &amp; PILLOW TIME for me 
930084,4,life and its webs it weaves... glad we're brought closer during the simplest of things...  fam
1168372,4,had a lovely birthday.  http://plurk.com/p/xedq0
266126,0,@salioelsol08 ew. 
930490,4,@LexiePixie Cool! Have a super day 
1589953,4,@markowen Always a pleasure Mark 
764638,0,http://twitpic.com/87lpp - it was beautiful once 
1357711,4,&lt;/cluster emoting&gt; Thanks for humoring me. 
36907,0,This is going to be the week from hell...I have so so so much to do! 
313963,0,@radqueen I WANT TO SEE PICTURES. 
1231437,4,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.
353281,0,"Going to physical therapy and then.. study biology! YAY! I wanted to see @marcoluque today  PrÃ³ximo stand up eu vou, prometo! "
1349396,4,@chor_leoni @Fantasy_Art @NxEW Thanks for the follow Friday! 
417174,0,@musikhoodtheory come cuddle with me! I'm allll alone!  lmao
1024420,4,helloooo everyone 
44518,0,Blah! I should be asleep for today's 10 am rehearsal but I don't want too! &gt;.&lt; Hehe I'm not sleepy and I don't want to wake up early! 
1073961,4,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! "
262089,0,@ddlovato why arent you at the mtv movie awards? i was looking forward to see you n tv 
275289,0,Drinking break... Alc free Weizen is out...   http://tinyurl.com/mdvqpn
1126961,4,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow
1568511,4,"Ok,this lil Tweeter is pooped,I'm going to dream that fairies come and clean my house!!Thanks for Ur time and tweets! Gnight.. "
991769,4,@daveracingkites http://twitpic.com/5ezxy - go to bed. 
1051519,4,working all day... of what a day. at least i have thanksgiving leftovers for lunch 
1367419,4,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile 
969423,4,@CapnSkulduggery I was just thinking we need some sort of logo. Like... The coriandr rabbit on a train 
279546,0,oh my God.. my laptop has a crack  all my fault 
1494981,4,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? 
1271257,4,cleaning + laundry = 
1069402,4,Have you asked your mother about my sleeepover thing? 
1044604,4,"@taylorswift13 that was a very entertaining few minutes spent reading that, i recorded the today show as soon as i heard you were on it "
110757,0,@SarahDownSouth Me neither. 
977695,4,"is downloading, downloading, downloading. "
258877,0,"Oh. Em. Gee. My Dad has been caught smoking! He quit months ago and has suddenly started again. Tut, tut. I'm so disappointed right now. "
457058,0,UGH la fitness closed at 8pm  i drove there for no reason! grrr
897097,4,@Jessicaveronica I love the song Untouchet 
1239932,4,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! "
1170031,4,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? 
1108195,4,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. 
455593,0,"@Bahamabob Mosquitoes, not yet but they'll arrive soon "
864698,4,dude where is my car ??? 
121290,0,I forgot my homework 
245273,0,@TheHouseofMouse I love these! But I am broke 
1089647,4,@Lumiel Aren't you sweet? 
314487,0,@rhys_isterix I can't get that horrible dream I had last night of Simbacat out of my head!  Its unnerving me! 
1100309,4,"Oi @ksymmonds Follow @leespoons - he's funny, nice bloke &amp; a bloody good mashup producer "
516213,0,"Hey Hannah here, training so far has consisted of two gym sessions (need to buy a bike) of 20km in 51 minutes. 40km on day little worried "
586342,0,No dice. The coaches made a big mistake not picking Jacob. 
738459,0,URGH so frustrated  tomorrow is the start of school.. so not excited AT ALL :|
855224,4,@CLR407 a lil.  thanks. &lt;3
1158966,4,@nickcarbone sounds like your dillo day was epic! Just wait until next year when I'm back 
830978,4,"@fldhtrsxl 10 is fine by me. The longer I'm out of this house, the better, tbh "
630455,0,"I don't like hearing the birds, its an indicator that I should be asleep, but I can't "
1141206,4,"@edicius during this Stanley Cup match up, yes, I am a Pens fan. "
854293,4,being bored and sitting on the computer 
438839,0,damn! it's already sunday 
1460755,4,@Wolfie75 Welcomes home  Glad you had a fabbo time!
1312910,4,Oh - and yes @JeanGWang the audio is royalty free! 
134906,0,"@FantasyParade I have more in the house but none with me   I could really go a nap. Or a cup of coffee, either one."
163050,0,my blog is crashing my browser 
1310205,4,@requin I FUCKING AGREE! I hate that shit almost as much as I hate o.O and  and XD
355620,0,@himynameisemmy you're making me jealous  i don't have mine yett  it better come todayy ughh
276807,0,well it's time to go back and study  i hate studying for exams...well wish me luck! gonna tweet on my next break..love ya all! &lt;3
1224320,4,morning tweeple  hope you all have a great monday
1409544,4,@itslucyliu http://twitpic.com/67iee - Hello girl wanna be friends please. xoxo 
1296421,4,"@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii"
691775,0,No Rafa at wimbledon?!?!?! Check it out  http://www.timesonline.co.uk/tol/sport/tennis/article6538282.ece Man oh man.
336691,0,smmfh . mad at tmobile right now qot ma stoopid web quard up kan`t even add ma twin on twitter 
222269,0,Trying to keep hope alive for the cavs 
440889,0,@Emily_lovesyou haha is he really? he is a hottie!!and funny! fjdska;f fly with me videoo!! so im not making dresses anymore for hte show 
573321,0,New iPhone firmware rocks. Waiting on mms from AT&amp;T  #AT&amp;Tfail
1548975,4,#musicmonday King Blues My Bolder 
741099,0,@ZOMB1E awe  I'll talk to him if you want?
1233037,4,@gfalcone601 well at least you had a great time and thats what's important! 
742599,0,@sleepysongbird yeah they were supposed to but the writers didn't want that in the first season.  GOOD i can only handle 1 girl having him
794016,0,@scottstokes Me too. a TON of js to deal with today...and it's not even pre-written.  I have to write it. 
862174,4,"@AlexAllTimeLow its not fair, you mostly reply to jack, only! :] love you though "
870302,4,"day 2 of the &quot;fun &amp; friendly&quot; Bohol adventure with Jam, Daph &amp; Kuya Gunns is about to end. best vacation by far.  next year uli? "
977809,4,Just a little shake  #earthquake - back to editing.   http://yfrog.com/5ehrsj (via @joshcoxrun)
585138,0,"Oh, that's just sad. My Direct Messages thing won't send Demi my message!  Hope it'll work soon... LOL. "
1191505,4,Figuring out how to live a life where I'm my own boss... fun 
1024103,4,"@KatieMcCullough Ya didn't fail, me dear! And there ARE good people out there - I know a lot of them! "
199568,0,OMG i wish i was at Aaron Kwok's concert...... 
239691,0,Some animal attacked the duck nest.  All the eggs were destroyed.  Sad.
1598700,4,eating lunch right about know 
1559418,4,@dance2jeffreee I have already watch that video lol 
717895,0,@glamourdolleyes We have one - it is out of stock 
1478100,4,cant wait to see Denise and Janet 
10969,0,http://twitpic.com/3iw7p  last picture of the countdown before I had to erase it 
1479129,4,"i made 29 updates today, my record xD talk to you tomorrow bye "
268903,0,The movie The Knowing made me afraid to be alone in my room  WHY am I five again!?!?! Ahh 
999117,4,Belanja Kaos itu gampang! www.kaoskita.com T-shirt shopping just a few clicks away. 
89767,0,wonders if he is ready to love again...  http://plurk.com/p/syd8e
1359524,4,Watching the Jon Ross show 
844623,4,@rach_e &amp; @gobi_one No being locked out taking place today then 
208108,0,ive broken my bloody leg  hit a curb in tenby on holidays and am in total agony.  Watching BGT at the moment.  I really enjoyed Shaheed
107306,0,@DorkierThanU  how do u play?
